transaction_id,profile_id,date_of_booking,date_of_service_requested,source,slot of booking (hour of the day)
BBCHH,1,5/20/2018,5/21/2018,D,14
CHWFD,1,9/23/2018,9/23/2018,C,8
DYDMF,2,11/10/2018,11/13/2018,C,11
EZYSA,3,4/12/2018,4/16/2018,B,8
HWAKX,3,8/5/2018,8/6/2018,B,11
YRKFO,4,3/2/2018,3/5/2018,A,13
JSFWY,5,1/6/2018,1/7/2018,C,14
GTLXK,6,7/18/2018,7/21/2018,B,13
BGNZX,7,12/7/2017,12/12/2017,D,16
TDVFU,8,11/29/2018,11/29/2018,C,10
LRPOS,8,11/30/2018,11/30/2018,C,14
HFTDN,9,3/8/2018,3/9/2018,B,14
QFVYK,10,10/26/2018,10/30/2018,D,13
CPXJN,11,10/3/2018,10/3/2018,C,15
UWZXB,12,2/20/2018,2/23/2018,B,11
SQLIO,13,3/21/2018,3/25/2018,A,15
OCGQD,14,4/30/2018,5/1/2018,C,14
PRFVG,14,6/7/2018,6/7/2018,D,6
SFYTJ,14,6/21/2018,6/23/2018,C,18
SBKYD,14,6/24/2018,6/29/2018,C,8
CJIHM,14,6/29/2018,7/1/2018,C,8
BNNUV,14,10/10/2018,10/12/2018,B,17
TPGDF,15,8/18/2018,8/23/2018,B,15
HRKKV,16,9/6/2018,9/10/2018,D,8
MCQPG,17,4/4/2018,4/7/2018,C,14
IXAJB,18,12/30/2017,1/3/2018,C,14
UVFIY,18,11/6/2018,11/7/2018,C,13
MKPZY,19,2/6/2018,2/8/2018,C,14
GHOIQ,20,6/13/2018,6/16/2018,A,17
QIYRA,21,11/27/2018,11/27/2018,B,8
PWHVT,22,1/29/2018,2/2/2018,A,15
JCMBE,22,4/26/2018,4/30/2018,D,14
NWIWD,22,9/6/2018,9/7/2018,A,14
QEMTI,23,7/29/2018,8/1/2018,C,13
IZTQM,24,7/3/2018,7/5/2018,D,14
RCZNH,25,12/30/2017,1/3/2018,A,16
IJJUZ,25,5/14/2018,5/15/2018,D,14
FSATM,25,5/24/2018,5/28/2018,B,17
CZLSM,25,7/23/2018,7/25/2018,C,14
FSGSX,26,9/25/2018,9/27/2018,C,13
QFPBH,27,10/18/2018,10/19/2018,B,7
JWYAN,28,10/23/2018,10/27/2018,B,14
PXRZK,29,2/22/2018,2/26/2018,B,7
RETIN,30,5/15/2018,5/18/2018,C,13
WHCUB,31,1/1/2018,1/1/2018,A,12
GRUDK,32,2/24/2018,3/1/2018,D,6
UPNZF,32,6/4/2018,6/9/2018,D,10
VGLNK,32,9/28/2018,10/2/2018,D,16
ZVXZZ,33,3/6/2018,3/6/2018,D,13
MZGUS,33,10/5/2018,10/5/2018,C,14
DKOCM,34,2/28/2018,3/5/2018,C,15
YNAQB,34,11/16/2018,11/21/2018,C,13
VKMTL,35,8/10/2018,8/14/2018,C,10
QZQLB,36,1/17/2018,1/18/2018,A,6
YCVAR,36,2/25/2018,2/27/2018,D,13
JTGYS,36,7/26/2018,7/28/2018,C,14
PLZKK,36,11/20/2018,11/20/2018,A,14
LZZAX,37,8/21/2018,8/25/2018,D,14
WFKKP,38,1/21/2018,1/24/2018,C,13
OZLYT,38,9/4/2018,9/6/2018,B,14
BKTKB,39,2/2/2018,2/4/2018,C,7
ISUQD,39,11/23/2018,11/24/2018,C,14
ZIUGA,40,7/4/2018,7/6/2018,C,13
DRMLC,41,4/7/2018,4/10/2018,C,9
GVPUE,42,5/21/2018,5/23/2018,B,11
NOVCS,43,3/16/2018,3/18/2018,B,14
WOVJA,43,6/12/2018,6/13/2018,C,18
DSGKZ,44,12/10/2017,12/14/2017,B,11
LKJAS,45,10/19/2018,10/20/2018,B,14
RWHKN,46,1/16/2018,1/21/2018,D,16
KZJGH,47,12/19/2017,12/19/2017,B,14
RXHMJ,47,2/8/2018,2/10/2018,A,14
WPRDW,47,2/12/2018,2/13/2018,D,18
YRQOR,47,3/2/2018,3/4/2018,B,13
MUCWG,47,3/11/2018,3/11/2018,C,14
